PassengerId,Survived,Pclass,,,Name,Sex,,Age,,,SibSp,Parch,Ticket,Fare,,Cabin,Embarked
430,1,3,0,0,"Pickard, Mr. Berk (Berk Trembisky)",male,0,32,0,0,0,0,SOTON/O.Q. 392078,8.05,0,E10,S
570,1,3,0,0,"Jonsson, Mr. Carl",male,0,32,0,0,0,0,350417,7.8542,0,,S
580,1,3,0,0,"Jussila, Mr. Eiriik",male,0,32,0,0,0,0,STON/O 2. 3101286,7.925,0,,S
839,1,3,0,0,"Chip, Mr. Chang",male,0,32,0,0,0,0,1601,56.4958,1,,S
329,1,3,0,0,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,1,31,0,1,1,1,363291,20.525,0,,S
745,1,3,0,0,"Stranden, Mr. Juho",male,0,31,0,0,0,0,STON/O 2. 3101288,7.925,0,,S
798,1,3,0,0,"Osman, Mrs. Mara",female,1,31,0,1,0,0,349244,8.6833,0,,S
80,1,3,0,0,"Dowdell, Miss. Elizabeth",female,1,30,0,1,0,0,364516,12.475,0,,S
287,1,3,0,0,"de Mulder, Mr. Theodore",male,0,30,0,0,0,0,345774,9.5,0,,S
82,1,3,0,0,"Sheerlinck, Mr. Jan Baptist",male,0,29,0,0,0,0,345779,9.5,0,,S
256,1,3,0,0,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,1,29,0,1,0,2,2650,15.2458,0,,C
456,1,3,0,0,"Jalsevac, Mr. Ivan",male,0,29,0,0,0,0,349240,7.8958,0,,C
511,1,3,0,0,"Daly, Mr. Eugene Patrick",male,0,29,0,0,0,0,382651,7.75,0,,Q
9,1,3,0,0,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,1,27,0,1,0,2,347742,11.1333,0,,S
147,1,3,0,0,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,0,27,0,0,0,0,350043,7.7958,0,,S
217,1,3,0,0,"Honkanen, Miss. Eliina",female,1,27,0,1,0,0,STON/O2. 3101283,7.925,0,,S
805,1,3,0,0,"Hedman, Mr. Oskar Arvid",male,0,27,0,0,0,0,347089,6.975,0,,S
822,1,3,0,0,"Lulic, Mr. Nikola",male,0,27,0,0,0,0,315098,8.6625,0,,S
824,1,3,0,0,"Moor, Mrs. (Beila)",female,1,27,0,1,0,1,392096,12.475,0,E121,S
3,1,3,0,0,"Heikkinen, Miss. Laina",female,1,26,0,1,0,0,STON/O2. 3101282,7.925,0,,S
208,1,3,0,0,"Albimona, Mr. Nassef Cassem",male,0,26,0,0,0,0,2699,18.7875,0,,C
316,1,3,0,0,"Nilsson, Miss. Helmina Josefina",female,1,26,0,1,0,0,347470,7.8542,0,,S
510,1,3,0,0,"Lang, Mr. Fang",male,0,26,0,0,0,0,1601,56.4958,1,,S
268,1,3,0,0,"Persson, Mr. Ernst Ulrik",male,0,25,0,1,1,0,347083,7.775,0,,S
272,1,3,0,0,"Tornquist, Mr. William Henry",male,0,25,0,0,0,0,LINE,0,0,,S
128,1,3,0,0,"Madsen, Mr. Fridtjof Arne",male,0,24,0,0,0,0,C 17369,7.1417,0,,S
143,1,3,0,0,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,1,24,0,1,1,0,STON/O2. 3101279,15.85,0,,S
395,1,3,0,0,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,1,24,0,1,0,2,PP 9549,16.7,0,G6,S
859,1,3,0,0,"Baclini, Mrs. Solomon (Latifa Qurban)",female,1,24,0,1,0,3,2666,19.2583,0,,C
650,1,3,0,0,"Stanley, Miss. Amy Zillah Elsie",female,1,23,0,1,0,0,CA. 2314,7.55,0,,S
142,1,3,0,0,"Nysten, Miss. Anna Sofia",female,1,22,0,1,0,0,347081,7.75,0,,S
290,1,3,0,0,"Connolly, Miss. Kate",female,1,22,0,1,0,0,370373,7.75,0,,Q
377,1,3,0,0,"Landergren, Miss. Aurora Adelia",female,1,22,0,1,0,0,C 7077,7.25,0,,S
554,1,3,0,0,"Leeni, Mr. Fahim (""Philip Zenni"")",male,0,22,0,0,0,0,2620,7.225,0,,C
555,1,3,0,0,"Ohman, Miss. Velin",female,1,22,0,1,0,0,347085,7.775,0,,S
107,1,3,0,0,"Salkjelsvik, Miss. Anna Kristine",female,1,21,0,1,0,0,343120,7.65,0,,S
392,1,3,0,0,"Jansson, Mr. Carl Olof",male,0,21,0,0,0,0,350034,7.7958,0,,S
623,1,3,0,0,"Nakid, Mr. Sahid",male,0,20,0,1,1,1,2653,15.7417,0,,C
665,1,3,0,0,"Lindqvist, Mr. Eino William",male,0,20,0,1,1,0,STON/O 2. 3101285,7.925,0,,S
763,1,3,0,0,"Barah, Mr. Hanna Assi",male,0,20,0,0,0,0,2663,7.2292,0,,C
45,1,3,0,0,"Devaney, Miss. Margaret Delia",female,1,19,0,1,0,0,330958,7.8792,0,,Q
193,1,3,0,0,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,1,19,0,1,1,0,350046,7.8542,0,,S
284,1,3,0,0,"Dorking, Mr. Edward Arthur",male,0,19,0,0,0,0,A/5. 10482,8.05,0,,S
205,1,3,0,0,"Cohen, Mr. Gurshon ""Gus""",male,0,18,0,0,0,0,A/5 3540,8.05,0,,S
678,1,3,0,0,"Turja, Miss. Anna Sofia",female,1,18,0,1,0,0,4138,9.8417,0,,S
787,1,3,0,0,"Sjoblom, Miss. Anna Sofia",female,1,18,0,1,0,0,3101265,7.4958,0,,S
856,1,3,0,0,"Aks, Mrs. Sam (Leah Rosen)",female,1,18,0,1,0,1,392091,9.35,0,,S
69,1,3,0,0,"Andersson, Miss. Erna Alexandra",female,1,17,0,1,4,2,3101281,7.925,0,,S
157,1,3,0,0,"Gilnagh, Miss. Katherine ""Katie""",female,1,16,0,1,0,0,35851,7.7333,0,,Q
209,1,3,0,0,"Carr, Miss. Helen ""Ellen""",female,1,16,0,1,0,0,367231,7.75,0,,Q
221,1,3,0,0,"Sunderland, Mr. Victor Francis",male,0,16,0,0,0,0,SOTON/OQ 392089,8.05,0,,S
23,1,3,0,0,"McGowan, Miss. Anna ""Annie""",female,1,15,0,1,0,0,330923,8.0292,0,,Q
831,1,3,0,0,"Yasbeck, Mrs. Antoni (Selini Alexander)",female,1,15,0,1,1,0,2659,14.4542,0,,C
876,1,3,0,0,"Najib, Miss. Adele Kiamie ""Jane""",female,1,15,0,1,0,0,2667,7.225,0,,C
40,1,3,0,0,"Nicola-Yarred, Miss. Jamila",female,1,14,0,1,1,0,2651,11.2417,0,,C
781,1,3,0,0,"Ayoub, Miss. Banoura",female,1,13,0,1,0,0,2687,7.2292,0,,C
126,1,3,0,0,"Nicola-Yarred, Master. Elias",male,0,12,0,1,1,0,2651,11.2417,0,,C
166,1,3,0,0,"Goldsmith, Master. Frank John William ""Frankie""",male,0,9,0,0,0,2,363291,20.525,0,,S
490,1,3,0,0,"Coutts, Master. Eden Leslie ""Neville""",male,0,9,0,1,1,1,C.A. 37671,15.9,0,,S
752,1,3,0,0,"Moor, Master. Meier",male,0,6,0,0,0,1,392096,12.475,0,E121,S
234,1,3,0,0,"Asplund, Miss. Lillian Gertrud",female,1,5,1,1,4,2,347077,31.3875,1,,S
449,1,3,0,0,"Baclini, Miss. Marie Catherine",female,1,5,1,1,2,1,2666,19.2583,0,,C
778,1,3,0,0,"Emanuel, Miss. Virginia Ethel",female,1,5,1,1,0,0,364516,12.475,0,,S
11,1,3,0,0,"Sandstrom, Miss. Marguerite Rut",female,1,4,1,1,1,1,PP 9549,16.7,0,G6,S
185,1,3,0,0,"Kink-Heilmann, Miss. Luise Gretchen",female,1,4,1,1,0,2,315153,22.025,0,,S
692,1,3,0,0,"Karun, Miss. Manca",female,1,4,1,1,0,1,349256,13.4167,0,,C
870,1,3,0,0,"Johnson, Master. Harold Theodor",male,0,4,1,1,1,1,347742,11.1333,0,,S
262,1,3,0,0,"Asplund, Master. Edvin Rojj Felix",male,0,3,1,1,4,2,347077,31.3875,1,,S
349,1,3,0,0,"Coutts, Master. William Loch ""William""",male,0,3,1,1,1,1,C.A. 37671,15.9,0,,S
480,1,3,0,0,"Hirvonen, Miss. Hildur E",female,1,2,1,1,0,1,3101298,12.2875,0,,S
173,1,3,0,0,"Johnson, Miss. Eleanor Ileen",female,1,1,1,1,1,1,347742,11.1333,0,,S
382,1,3,0,0,"Nakid, Miss. Maria (""Mary"")",female,1,1,1,1,0,2,2653,15.7417,0,,C
789,1,3,0,0,"Dean, Master. Bertram Vere",male,0,1,1,1,1,2,C.A. 2315,20.575,0,,S
470,1,3,0,0,"Baclini, Miss. Helene Barbara",female,1,0.75,1,1,2,1,2666,19.2583,0,,C
645,1,3,0,0,"Baclini, Miss. Eugenie",female,1,0.75,1,1,2,1,2666,19.2583,0,,C
804,1,3,0,0,"Thomas, Master. Assad Alexander",male,0,0.42,1,0,0,1,2625,8.5167,0,,C
20,1,3,0,0,"Masselmani, Mrs. Fatima",female,1,,0,1,0,0,2649,7.225,0,,C
29,1,3,0,0,"O'Dwyer, Miss. Ellen ""Nellie""",female,1,,0,1,0,0,330959,7.8792,0,,Q
33,1,3,0,0,"Glynn, Miss. Mary Agatha",female,1,,0,1,0,0,335677,7.75,0,,Q
37,1,3,0,0,"Mamee, Mr. Hanna",male,0,,0,0,0,0,2677,7.2292,0,,C
48,1,3,0,0,"O'Driscoll, Miss. Bridget",female,1,,0,1,0,0,14311,7.75,0,,Q
66,1,3,0,0,"Moubarek, Master. Gerios",male,0,,0,1,1,1,2661,15.2458,0,,C
83,1,3,0,0,"McDermott, Miss. Brigdet Delia",female,1,,0,1,0,0,330932,7.7875,0,,Q
108,1,3,0,0,"Moss, Mr. Albert Johan",male,0,,0,0,0,0,312991,7.775,0,,S
110,1,3,0,0,"Moran, Miss. Bertha",female,1,,0,1,1,0,371110,24.15,0,,Q
129,1,3,0,0,"Peter, Miss. Anna",female,1,,0,1,1,1,2668,22.3583,0,F E69,C
187,1,3,0,0,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,1,,0,1,1,0,370365,15.5,0,,Q
199,1,3,0,0,"Madigan, Miss. Margaret ""Maggie""",female,1,,0,1,0,0,370370,7.75,0,,Q
242,1,3,0,0,"Murphy, Miss. Katherine ""Kate""",female,1,,0,1,1,0,367230,15.5,0,,Q
275,1,3,0,0,"Healy, Miss. Hanora ""Nora""",female,1,,0,1,0,0,370375,7.75,0,,Q
301,1,3,0,0,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,1,,0,1,0,0,9234,7.75,0,,Q
302,1,3,0,0,"McCoy, Mr. Bernard",male,0,,0,1,2,0,367226,23.25,0,,Q
331,1,3,0,0,"McCoy, Miss. Agnes",female,1,,0,1,2,0,367226,23.25,0,,Q
348,1,3,0,0,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,1,,0,1,1,0,386525,16.1,0,,S
359,1,3,0,0,"McGovern, Miss. Mary",female,1,,0,1,0,0,330931,7.8792,0,,Q
360,1,3,0,0,"Mockler, Miss. Helen Mary ""Ellie""",female,1,,0,1,0,0,330980,7.8792,0,,Q
368,1,3,0,0,"Moussa, Mrs. (Mantoura Boulos)",female,1,,0,1,0,0,2626,7.2292,0,,C
369,1,3,0,0,"Jermyn, Miss. Annie",female,1,,0,1,0,0,14313,7.75,0,,Q
432,1,3,0,0,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,1,,0,1,1,0,376564,16.1,0,,S
445,1,3,0,0,"Johannesen-Bratthammer, Mr. Bernt",male,0,,0,0,0,0,65306,8.1125,0,,S
534,1,3,0,0,"Peter, Mrs. Catherine (Catherine Rizk)",female,1,,0,1,0,2,2668,22.3583,0,,C
574,1,3,0,0,"Kelly, Miss. Mary",female,1,,0,1,0,0,14312,7.75,0,,Q
613,1,3,0,0,"Murphy, Miss. Margaret Jane",female,1,,0,1,1,0,367230,15.5,0,,Q
644,1,3,0,0,"Foo, Mr. Choong",male,0,,0,0,0,0,1601,56.4958,1,,S
654,1,3,0,0,"O'Leary, Miss. Hanora ""Norah""",female,1,,0,1,0,0,330919,7.8292,0,,Q
693,1,3,0,0,"Lam, Mr. Ali",male,0,,0,0,0,0,1601,56.4958,1,,S
698,1,3,0,0,"Mullens, Miss. Katherine ""Katie""",female,1,,0,1,0,0,35852,7.7333,0,,Q
710,1,3,0,0,"Moubarek, Master. Halim Gonios (""William George"")",male,0,,0,1,1,1,2661,15.2458,0,,C
728,1,3,0,0,"Mannion, Miss. Margareth",female,1,,0,1,0,0,36866,7.7375,0,,Q
829,1,3,0,0,"McCormack, Mr. Thomas Joseph",male,0,,0,0,0,0,367228,7.75,0,,Q
97,0,1,0,0,"Goldschmidt, Mr. George B",male,0,71,0,0,0,0,PC 17754,34.6542,1,A5,C
494,0,1,0,0,"Artagaveytia, Mr. Ramon",male,0,71,0,0,0,0,PC 17609,49.5042,1,,C
746,0,1,0,0,"Crosby, Capt. Edward Gifford",male,0,70,0,1,1,1,WE/P 5735,71,1,B22,S
55,0,1,0,0,"Ostby, Mr. Engelhart Cornelius",male,0,65,0,0,0,1,113509,61.9792,1,B30,C
457,0,1,0,0,"Millet, Mr. Francis Davis",male,0,65,0,0,0,0,13509,26.55,1,E38,S
439,0,1,0,0,"Fortune, Mr. Mark",male,0,64,0,1,1,4,19950,263,1,C23 C25 C27,S
546,0,1,0,0,"Nicholson, Mr. Arthur Ernest",male,0,64,0,0,0,0,693,26,1,,S
253,0,1,0,0,"Stead, Mr. William Thomas",male,0,62,0,0,0,0,113514,26.55,1,C87,S
556,0,1,0,0,"Wright, Mr. George",male,0,62,0,0,0,0,113807,26.55,1,,S
171,0,1,0,0,"Van der hoef, Mr. Wyckoff",male,0,61,0,0,0,0,111240,33.5,1,B19,S
626,0,1,0,0,"Sutton, Mr. Frederick",male,0,61,0,0,0,0,36963,32.3208,1,D50,S
695,0,1,0,0,"Weir, Col. John",male,0,60,0,0,0,0,113800,26.55,1,,S
488,0,1,0,0,"Kent, Mr. Edward Austin",male,0,58,0,0,0,0,11771,29.7,1,B37,C
660,0,1,0,0,"Newell, Mr. Arthur Webster",male,0,58,0,0,0,2,35273,113.275,1,D48,C
175,0,1,0,0,"Smith, Mr. James Clinch",male,0,56,0,0,0,0,17764,30.6958,1,A7,C
468,0,1,0,0,"Smart, Mr. John Montgomery",male,0,56,0,0,0,0,113792,26.55,1,,S
493,0,1,0,0,"Molson, Mr. Harry Markland",male,0,55,0,0,0,0,113787,30.5,1,C30,S
7,0,1,0,0,"McCarthy, Mr. Timothy J",male,0,54,0,0,0,0,17463,51.8625,1,E46,S
125,0,1,0,0,"White, Mr. Percival Wayland",male,0,54,0,0,0,1,35281,77.2875,1,D26,S
263,0,1,0,0,"Taussig, Mr. Emil",male,0,52,0,1,1,1,110413,79.65,1,E67,S
156,0,1,0,0,"Williams, Mr. Charles Duane",male,0,51,0,0,0,1,PC 17597,61.3792,1,,C
178,0,1,1,1,"Isham, Miss. Ann Elizabeth",female,1,50,0,1,0,0,PC 17595,28.7125,1,C49,C
435,0,1,0,0,"Silvey, Mr. William Baird",male,0,50,0,1,1,0,13507,55.9,1,E44,S
545,0,1,0,0,"Douglas, Mr. Walter Donald",male,0,50,0,1,1,0,PC 17761,106.425,1,C86,C
699,0,1,0,0,"Thayer, Mr. John Borland",male,0,49,0,1,1,1,17421,110.8833,1,C68,C
111,0,1,0,0,"Porter, Mr. Walter Chamberlain",male,0,47,0,0,0,0,110465,52,1,C110,S
463,0,1,0,0,"Gee, Mr. Arthur H",male,0,47,0,0,0,0,111320,38.5,1,E63,S
516,0,1,0,0,"Walker, Mr. William Anderson",male,0,47,0,0,0,0,36967,34.0208,1,D46,S
663,0,1,0,0,"Colley, Mr. Edward Pomeroy",male,0,47,0,0,0,0,5727,25.5875,1,E58,S
93,0,1,0,0,"Chaffee, Mr. Herbert Fuller",male,0,46,0,1,1,0,W.E.P. 5734,61.175,1,E31,S
790,0,1,0,0,"Guggenheim, Mr. Benjamin",male,0,46,0,0,0,0,PC 17593,79.2,1,B82 B84,C
332,0,1,0,0,"Partner, Mr. Austen",male,0,45.5,0,0,0,0,113043,28.5,1,C124,S
63,0,1,0,0,"Harris, Mr. Henry Birkhardt",male,0,45,0,1,1,0,36973,83.475,1,C83,S
340,0,1,0,0,"Blackwell, Mr. Stephen Weart",male,0,45,0,0,0,0,113784,35.5,1,T,S
537,0,1,0,0,"Butt, Major. Archibald Willingham",male,0,45,0,0,0,0,113050,26.55,1,B38,S
246,0,1,0,0,"Minahan, Dr. William Edward",male,0,44,0,1,2,0,19928,90,1,C78,Q
36,0,1,0,0,"Holverson, Mr. Alexander Oskar",male,0,42,0,1,1,0,113789,52,1,,S
31,0,1,0,0,"Uruchurtu, Don. Manuel E",male,0,40,0,0,0,0,PC 17601,27.7208,1,,C
264,0,1,0,0,"Harrison, Mr. William",male,0,40,0,0,0,0,112059,0,0,B94,S
807,0,1,0,0,"Andrews, Mr. Thomas Jr",male,0,39,0,0,0,0,112050,0,0,A36,S
333,0,1,0,0,"Graham, Mr. George Edward",male,0,38,0,0,0,1,PC 17582,153.4625,1,C91,S
823,0,1,0,0,"Reuchlin, Jonkheer. John George",male,0,38,0,0,0,0,19972,0,0,,S
138,0,1,0,0,"Futrelle, Mr. Jacques Heath",male,0,37,0,1,1,0,113803,53.1,1,C123,S
274,0,1,0,0,"Natsch, Mr. Charles H",male,0,37,0,0,0,1,PC 17596,29.7,1,C118,C
584,0,1,0,0,"Ross, Mr. John Hugo",male,0,36,0,0,0,0,13049,40.125,1,A10,C
742,0,1,0,0,"Cavendish, Mr. Tyrell William",male,0,36,0,1,1,0,19877,78.85,1,C46,S
873,0,1,0,0,"Carlsson, Mr. Frans Olof",male,0,33,0,0,0,0,695,5,0,B51 B53 B55,S
672,0,1,0,0,"Davidson, Mr. Thornton",male,0,31,0,1,1,0,F.C. 12750,52,1,B71,S
868,0,1,0,0,"Roebling, Mr. Washington Augustus II",male,0,31,0,0,0,0,PC 17590,50.4958,1,A24,S
453,0,1,0,0,"Foreman, Mr. Benjamin Laventall",male,0,30,0,0,0,0,113051,27.75,1,C111,C
337,0,1,0,0,"Pears, Mr. Thomas Clinton",male,0,29,0,1,1,0,113776,66.6,1,C2,S
783,0,1,0,0,"Long, Mr. Milton Clyde",male,0,29,0,0,0,0,113501,30,1,D6,S
35,0,1,0,0,"Meyer, Mr. Edgar Joseph",male,0,28,0,1,1,0,PC 17604,82.1708,1,,C
84,0,1,0,0,"Carrau, Mr. Francisco M",male,0,28,0,0,0,0,113059,47.1,1,,S
378,0,1,0,0,"Widener, Mr. Harry Elkins",male,0,27,0,0,0,2,113503,211.5,1,C82,C
499,0,1,1,1,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,1,25,0,1,1,2,113781,151.55,1,C22 C26,S
119,0,1,0,0,"Baxter, Mr. Quigg Edmond",male,0,24,0,0,0,1,PC 17558,247.5208,1,B58 B60,C
140,0,1,0,0,"Giglio, Mr. Victor",male,0,24,0,0,0,0,PC 17593,79.2,1,B86,C
374,0,1,0,0,"Ringhini, Mr. Sante",male,0,22,0,0,0,0,PC 17760,135.6333,1,,C
103,0,1,0,0,"White, Mr. Richard Frasar",male,0,21,0,0,0,1,35281,77.2875,1,D26,S
28,0,1,0,0,"Fortune, Mr. Charles Alexander",male,0,19,0,1,3,2,19950,263,1,C23 C25 C27,S
749,0,1,0,0,"Marvin, Mr. Daniel Warner",male,0,19,0,1,1,0,113773,53.1,1,D30,S
506,0,1,0,0,"Penasco y Castellana, Mr. Victor de Satode",male,0,18,0,1,1,0,PC 17758,108.9,1,C65,C
298,0,1,1,1,"Allison, Miss. Helen Loraine",female,1,2,1,1,1,2,113781,151.55,1,C22 C26,S
65,0,1,0,0,"Stewart, Mr. Albert A",male,0,,0,0,0,0,PC 17605,27.7208,1,,C
169,0,1,0,0,"Baumann, Mr. John D",male,0,,0,0,0,0,PC 17318,25.925,1,,S
186,0,1,0,0,"Rood, Mr. Hugh Roscoe",male,0,,0,0,0,0,113767,50,1,A32,S
271,0,1,0,0,"Cairns, Mr. Alexander",male,0,,0,0,0,0,113798,31,1,,S
285,0,1,0,0,"Smith, Mr. Richard William",male,0,,0,0,0,0,113056,26,1,A19,S
296,0,1,0,0,"Lewy, Mr. Ervin G",male,0,,0,0,0,0,PC 17612,27.7208,1,,C
352,0,1,0,0,"Williams-Lambert, Mr. Fletcher Fellows",male,0,,0,0,0,0,113510,35,1,C128,S
476,0,1,0,0,"Clifford, Mr. George Quincy",male,0,,0,0,0,0,110465,52,1,A14,S
528,0,1,0,0,"Farthing, Mr. John",male,0,,0,0,0,0,PC 17483,221.7792,1,C95,S
558,0,1,0,0,"Robbins, Mr. Victor",male,0,,0,0,0,0,PC 17757,227.525,1,,C
603,0,1,0,0,"Harrington, Mr. Charles H",male,0,,0,0,0,0,113796,42.4,1,,S
634,0,1,0,0,"Parr, Mr. William Henry Marsh",male,0,,0,0,0,0,112052,0,0,,S
712,0,1,0,0,"Klaber, Mr. Herman",male,0,,0,0,0,0,113028,26.55,1,C124,S
767,0,1,0,0,"Brewe, Dr. Arthur Jackson",male,0,,0,0,0,0,112379,39.6,1,,C
794,0,1,0,0,"Hoyt, Mr. William Fisher",male,0,,0,0,0,0,PC 17600,30.6958,1,,C
816,0,1,0,0,"Fry, Mr. Richard",male,0,,0,0,0,0,112058,0,0,B102,S
673,0,2,0,0,"Mitchell, Mr. Henry Michael",male,0,70,0,0,0,0,C.A. 24580,10.5,0,,S
34,0,2,0,0,"Wheadon, Mr. Edward H",male,0,66,0,0,0,0,C.A. 24579,10.5,0,,S
685,0,2,0,0,"Brown, Mr. Thomas William Solomon",male,0,60,0,1,1,1,29750,39,1,,S
233,0,2,0,0,"Sjostedt, Mr. Ernst Adolf",male,0,59,0,0,0,0,237442,13.5,0,,S
627,0,2,0,0,"Kirkland, Rev. Charles Leonard",male,0,57,0,0,0,0,219533,12.35,0,,Q
773,0,2,0,1,"Mack, Mrs. (Mary)",female,1,57,0,1,0,0,S.O./P.P. 3,10.5,0,E77,S
250,0,2,0,0,"Carter, Rev. Ernest Courtenay",male,0,54,0,1,1,0,244252,26,1,,S
318,0,2,0,0,"Moraweck, Dr. Ernest",male,0,54,0,0,0,0,29011,14,0,,S
583,0,2,0,0,"Downton, Mr. William James",male,0,54,0,0,0,0,28403,26,1,,S
696,0,2,0,0,"Chapman, Mr. Charles Henry",male,0,52,0,0,0,0,248731,13.5,0,,S
715,0,2,0,0,"Greenberg, Mr. Samuel",male,0,52,0,0,0,0,250647,13,0,,S
151,0,2,0,0,"Bateman, Rev. Robert James",male,0,51,0,0,0,0,S.O.P. 1166,12.525,0,,S
724,0,2,0,0,"Hodges, Mr. Henry Price",male,0,50,0,0,0,0,250643,13,0,,S
464,0,2,0,0,"Milling, Mr. Jacob Christian",male,0,48,0,0,0,0,234360,13,0,,S
587,0,2,0,0,"Jarvis, Mr. John Denzil",male,0,47,0,0,0,0,237565,15,0,,S
398,0,2,0,0,"McKane, Mr. Peter David",male,0,46,0,0,0,0,28403,26,1,,S
237,0,2,0,0,"Hold, Mr. Stephen",male,0,44,0,1,1,0,26707,26,1,,S
855,0,2,0,1,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",female,1,44,0,1,1,0,244252,26,1,,S
315,0,2,0,0,"Hart, Mr. Benjamin",male,0,43,0,1,1,1,F.C.C. 13529,26.25,1,,S
150,0,2,0,0,"Byles, Rev. Thomas Roussel Davids",male,0,42,0,0,0,0,244310,13,0,,S
218,0,2,0,0,"Jacobsohn, Mr. Sidney Samuel",male,0,42,0,1,1,0,243847,27,1,,S
706,0,2,0,0,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",male,0,39,0,0,0,0,250655,26,1,,S
796,0,2,0,0,"Otter, Mr. Richard",male,0,39,0,0,0,0,28213,13,0,,S
809,0,2,0,0,"Meyer, Mr. August",male,0,39,0,0,0,0,248723,13,0,,S
358,0,2,0,1,"Funk, Miss. Annie Clemmer",female,1,38,0,1,0,0,237671,13,0,,S
595,0,2,0,0,"Chapman, Mr. John Henry",male,0,37,0,1,1,0,SC/AH 29037,26,1,,S
149,0,2,0,0,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,0,36.5,0,0,0,2,230080,26,1,F2,S
266,0,2,0,0,"Reeves, Mr. David",male,0,36,0,0,0,0,C.A. 17248,10.5,0,,S
293,0,2,0,0,"Levy, Mr. Rene Jacques",male,0,36,0,0,0,0,SC/Paris 2163,12.875,0,D,C
345,0,2,0,0,"Fox, Mr. Stanley Hubert",male,0,36,0,0,0,0,229236,13,0,,S
451,0,2,0,0,"West, Mr. Edwy Arthur",male,0,36,0,1,1,2,C.A. 34651,27.75,1,,S
21,0,2,0,0,"Fynney, Mr. Joseph J",male,0,35,0,0,0,0,239865,26,1,,S
813,0,2,0,0,"Slemen, Mr. Richard James",male,0,35,0,0,0,0,28206,10.5,0,,S
100,0,2,0,0,"Kantor, Mr. Sinai",male,0,34,0,1,1,0,244367,26,1,,S
406,0,2,0,0,"Gale, Mr. Shadrach",male,0,34,0,1,1,0,28664,21,0,,S
477,0,2,0,0,"Renouf, Mr. Peter Henry",male,0,34,0,1,1,0,31027,21,0,,S
723,0,2,0,0,"Gillespie, Mr. William Henry",male,0,34,0,0,0,0,12233,13,0,,S
801,0,2,0,0,"Ponesell, Mr. Martin",male,0,34,0,0,0,0,250647,13,0,,S
240,0,2,0,0,"Hunt, Mr. George Henry",male,0,33,0,0,0,0,SCO/W 1585,12.275,0,,S
123,0,2,0,0,"Nasser, Mr. Nicholas",male,0,32.5,0,1,1,0,237736,30.0708,1,,C
71,0,2,0,0,"Jenkin, Mr. Stephen Curnow",male,0,32,0,0,0,0,C.A. 33111,10.5,0,,S
666,0,2,0,0,"Hickman, Mr. Lewis",male,0,32,0,1,2,0,S.O.C. 14879,73.5,1,,S
440,0,2,0,0,"Kvillner, Mr. Johan Henrik Johannesson",male,0,31,0,0,0,0,C.A. 18723,10.5,0,,S
638,0,2,0,0,"Collyer, Mr. Harvey",male,0,31,0,1,1,1,C.A. 31921,26.25,1,,S
818,0,2,0,0,"Mallet, Mr. Albert",male,0,31,0,1,1,1,S.C./PARIS 2079,37.0042,1,,C
179,0,2,0,0,"Hale, Mr. Reginald",male,0,30,0,0,0,0,250653,13,0,,S
214,0,2,0,0,"Givard, Mr. Hans Kristensen",male,0,30,0,0,0,0,250646,13,0,,S
220,0,2,0,0,"Harris, Mr. Walter",male,0,30,0,0,0,0,W/C 14208,10.5,0,,S
309,0,2,0,0,"Abelson, Mr. Samuel",male,0,30,0,1,1,0,P/PP 3381,24,0,,C
419,0,2,0,0,"Matthews, Mr. William John",male,0,30,0,0,0,0,28228,13,0,,S
118,0,2,0,0,"Turpin, Mr. William John Robert",male,0,29,0,1,1,0,11668,21,0,,S
243,0,2,0,0,"Coleridge, Mr. Reginald Charles",male,0,29,0,0,0,0,W./C. 14263,10.5,0,,S
362,0,2,0,0,"del Carlo, Mr. Sebastiano",male,0,29,0,1,1,0,SC/PARIS 2167,27.7208,1,,C
343,0,2,0,0,"Collander, Mr. Erik Gustaf",male,0,28,0,0,0,0,248740,13,0,,S
563,0,2,0,0,"Norman, Mr. Robert Douglas",male,0,28,0,0,0,0,218629,13.5,0,,S
849,0,2,0,0,"Harper, Rev. John",male,0,28,0,0,0,1,248727,33,1,,S
884,0,2,0,0,"Banfield, Mr. Frederick James",male,0,28,0,0,0,0,C.A./SOTON 34068,10.5,0,,S
42,0,2,0,1,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,1,27,0,1,1,0,11668,21,0,,S
222,0,2,0,0,"Bracken, Mr. James H",male,0,27,0,0,0,0,220367,13,0,,S
